,3000,5000
490,0.32,0.27
491,0.32,0.27
492,0.32,0.27
493,0.32,0.27
494,0.32,0.265
495,0.315,0.265
496,0.315,0.26
497,0.315,0.26
498,0.315,0.26
499,0.315,0.26
500,0.315,0.26
501,0.315,0.26
502,0.315,0.26
503,0.315,0.26
504,0.315,0.255
505,0.315,0.255
506,0.315,0.255
507,0.31,0.255
508,0.31,0.255
509,0.31,0.255
510,0.305,0.255
511,0.305,0.255
512,0.305,0.255
513,0.305,0.255
514,0.305,0.255
515,0.305,0.255
516,0.305,0.255
517,0.305,0.255
518,0.3,0.255
519,0.3,0.25
520,0.295,0.25
521,0.295,0.25
522,0.29,0.25
523,0.29,0.25
524,0.29,0.25
525,0.29,0.25
526,0.29,0.25
527,0.29,0.25
528,0.29,0.25
529,0.29,0.25
530,0.29,0.25
531,0.29,0.25
532,0.285,0.25
533,0.285,0.25
534,0.285,0.25
535,0.285,0.25
536,0.285,0.25
537,0.285,0.25
538,0.285,0.25
539,0.285,0.25
540,0.285,0.245
541,0.285,0.245
542,0.285,0.245
543,0.285,0.245
544,0.28,0.245
545,0.275,0.245
546,0.275,0.245
547,0.275,0.245
548,0.275,0.245
549,0.275,0.245
550,0.275,0.245
551,0.275,0.24
552,0.275,0.24
553,0.275,0.235
554,0.275,0.235
555,0.275,0.235
556,0.275,0.235
557,0.27,0.235
558,0.27,0.235
559,0.27,0.235
560,0.265,0.235
561,0.265,0.235
562,0.26,0.235
563,0.255,0.235
564,0.255,0.235
565,0.255,0.235
566,0.25,0.235
567,0.25,0.235
568,0.25,0.235
569,0.25,0.235
570,0.25,0.235
571,0.25,0.235
572,0.25,0.235
573,0.25,0.235
574,0.25,0.235
575,0.245,0.235
576,0.245,0.235
577,0.245,0.235
578,0.245,0.235
579,0.245,0.235
580,0.245,0.235
581,0.245,0.235
582,0.245,0.235
583,0.245,0.235
584,0.245,0.235
585,0.245,0.235
586,0.245,0.235
587,0.24,0.235
588,0.24,0.235
589,0.24,0.235
590,0.24,0.235
591,0.24,0.235
592,0.24,0.235
593,0.24,0.235
594,0.24,0.235
595,0.24,0.235
596,0.24,0.235
597,0.235,0.235
598,0.235,0.235
599,0.235,0.235
600,0.235,0.23
601,0.235,0.23
602,0.235,0.23
603,0.235,0.23
604,0.235,0.225
605,0.235,0.225
606,0.235,0.22
607,0.235,0.22
608,0.235,0.22
609,0.235,0.22
610,0.235,0.22
611,0.235,0.22
612,0.235,0.215
613,0.235,0.215
614,0.235,0.215
615,0.235,0.215
616,0.235,0.215
617,0.235,0.215
618,0.235,0.21
619,0.235,0.21
620,0.235,0.21
621,0.235,0.21
622,0.235,0.21
623,0.235,0.21
624,0.23,0.21
625,0.23,0.21
626,0.23,0.21
627,0.23,0.21
628,0.23,0.21
629,0.225,0.21
630,0.225,0.21
631,0.225,0.205
632,0.225,0.205
633,0.225,0.205
634,0.22,0.205
635,0.22,0.205
636,0.22,0.205
637,0.22,0.205
638,0.22,0.205
639,0.215,0.205
640,0.215,0.205
641,0.215,0.205
642,0.215,0.205
643,0.215,0.205
644,0.215,0.205
645,0.215,0.205
646,0.215,0.205
647,0.215,0.205
648,0.215,0.205
649,0.215,0.205
650,0.215,0.205
651,0.215,0.205
652,0.215,0.195
653,0.215,0.195
654,0.215,0.195
655,0.215,0.19
656,0.215,0.19
657,0.215,0.19
658,0.215,0.19
659,0.215,0.19
660,0.215,0.19
661,0.215,0.19
662,0.215,0.19
663,0.21,0.185
664,0.21,0.185
665,0.21,0.185
666,0.21,0.185
667,0.21,0.185
668,0.21,0.185
669,0.21,0.185
670,0.21,0.185
671,0.205,0.185
672,0.205,0.185
673,0.205,0.185
674,0.205,0.18
675,0.205,0.18
676,0.205,0.18
677,0.205,0.18
678,0.205,0.18
679,0.205,0.18
680,0.205,0.18
681,0.205,0.18
682,0.205,0.18
683,0.205,0.18
684,0.205,0.18
685,0.205,0.18
686,0.205,0.18
687,0.205,0.18
688,0.205,0.18
689,0.205,0.18
690,0.2,0.18
691,0.2,0.18
692,0.2,0.18
693,0.2,0.18
694,0.19,0.18
695,0.185,0.18
696,0.185,0.18
697,0.185,0.18
698,0.185,0.18
699,0.185,0.18
700,0.185,0.18
701,0.185,0.165
702,0.185,0.165
703,0.185,0.16
704,0.185,0.16
705,0.185,0.16
706,0.185,0.16
707,0.18,0.16
708,0.18,0.16
709,0.18,0.155
710,0.18,0.155
711,0.18,0.155
712,0.18,0.155
713,0.18,0.155
714,0.18,0.155
715,0.18,0.155
716,0.18,0.155
717,0.18,0.155
718,0.18,0.155
719,0.18,0.15
720,0.175,0.15
721,0.175,0.15
722,0.175,0.15
723,0.175,0.15
724,0.175,0.15
725,0.175,0.15
726,0.175,0.15
727,0.175,0.15
728,0.175,0.15
729,0.175,0.15
730,0.175,0.145
731,0.175,0.14
732,0.175,0.135
733,0.175,0.135
734,0.175,0.135
735,0.175,0.125
736,0.175,0.12
737,0.175,0.12
738,0.175,0.12
739,0.175,0.12
740,0.175,0.12
741,0.175,0.12
742,0.17,0.12
743,0.17,0.12
744,0.17,0.12
745,0.17,0.12
746,0.165,0.12
747,0.165,0.12
748,0.165,0.12
749,0.16,0.12
750,0.16,0.12
751,0.16,0.12
752,0.16,0.12
753,0.16,0.12
754,0.16,0.12
755,0.16,0.12
756,0.16,0.12
757,0.16,0.12
758,0.16,0.12
759,0.16,0.12
760,0.16,0.12
761,0.16,0.12
762,0.16,0.12
763,0.16,0.12
764,0.16,0.12
765,0.16,0.12
766,0.16,0.12
767,0.16,0.12
768,0.16,0.115
769,0.16,0.115
770,0.16,0.115
771,0.16,0.115
772,0.16,0.115
773,0.16,0.115
774,0.16,0.115
775,0.155,0.115
776,0.155,0.115
777,0.155,0.11
778,0.155,0.11
779,0.155,0.11
780,0.155,0.11
781,0.155,0.11
782,0.155,0.105
783,0.155,0.105
784,0.155,0.105
785,0.155,0.105
786,0.155,0.1
787,0.155,0.1
788,0.155,0.1
789,0.155,0.1
790,0.155,0.1
791,0.155,0.095
792,0.155,0.095
793,0.155,0.09
794,0.15,0.09
795,0.15,0.09
796,0.15,0.09
797,0.15,0.09
798,0.145,0.09
799,0.145,0.09
800,0.145,0.09
801,0.145,0.09
802,0.145,0.09
803,0.145,0.09
804,0.145,0.09
805,0.145,0.09
806,0.145,0.09
807,0.145,0.09
808,0.145,0.09
809,0.145,0.09
810,0.145,0.09
811,0.145,0.09
812,0.145,0.09
813,0.145,0.09
814,0.145,0.09
815,0.145,0.09
816,0.145,0.09
817,0.145,0.09
818,0.145,0.09
819,0.145,0.09
820,0.14,0.09
821,0.14,0.09
822,0.14,0.09
823,0.14,0.09
824,0.14,0.09
825,0.14,0.09
826,0.14,0.09
827,0.14,0.09
828,0.14,0.09
829,0.14,0.09
830,0.14,0.09
831,0.135,0.09
832,0.135,0.09
833,0.135,0.09
834,0.135,0.09
835,0.135,0.09
836,0.135,0.09
837,0.135,0.09
838,0.135,0.09
839,0.135,0.09
840,0.135,0.09
841,0.135,0.09
842,0.135,0.09
